+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.6207   |
|  epoch 2  |   0.4592   |
|  epoch 3  |   0.3748   |
|  epoch 4  |   0.3117   |
|  epoch 5  |   0.2775   |
|  epoch 6  |   0.2479   |
|  epoch 7  |   0.2075   |
|  epoch 8  |   0.1893   |
|  epoch 9  |   0.1581   |
|  epoch 10 |   0.1331   |
|  epoch 11 |   0.1155   |
|  epoch 12 |   0.1060   |
|  epoch 13 |   0.0864   |
|  epoch 14 |   0.0753   |
|  epoch 15 |   0.0553   |
|  epoch 16 |   0.0607   |
|  epoch 17 |   0.0459   |
|  epoch 18 |   0.0372   |
|  epoch 19 |   0.0435   |
|  epoch 20 |   0.0293   |
|  epoch 21 |   0.0268   |
|  epoch 22 |   0.0372   |
|  epoch 23 |   0.0224   |
|  epoch 24 |   0.0190   |
|  epoch 25 |   0.0344   |
|  epoch 26 |   0.0216   |
|  epoch 27 |   0.0192   |
|  epoch 28 |   0.0209   |
|  epoch 29 |   0.0170   |
|  epoch 30 |   0.0170   |
|  epoch 31 |   0.0166   |
|  epoch 32 |   0.0145   |
|  epoch 33 |   0.0123   |
|  epoch 34 |   0.0151   |
|  epoch 35 |   0.0162   |
|  epoch 36 |   0.0139   |
|  epoch 37 |   0.0110   |
|  epoch 38 |   0.0131   |
|  epoch 39 |   0.0106   |
|  epoch 40 |   0.0115   |
|  epoch 41 |   0.0096   |
|  epoch 42 |   0.0091   |
|  epoch 43 |   0.0087   |
|  epoch 44 |   0.0108   |
|  epoch 45 |   0.0091   |
|  epoch 46 |   0.0115   |
|  epoch 47 |   0.0115   |
|  epoch 48 |   0.0095   |
|  epoch 49 |   0.0082   |
|  epoch 50 |   0.0113   |
|  epoch 51 |   0.0086   |
|  epoch 52 |   0.0081   |
|  epoch 53 |   0.0085   |
|  epoch 54 |   0.0071   |
|  epoch 55 |   0.0093   |
|  epoch 56 |   0.0065   |
|  epoch 57 |   0.0068   |
|  epoch 58 |   0.0076   |
|  epoch 59 |   0.0057   |
|  epoch 60 |   0.0092   |
|  epoch 61 |   0.0062   |
|  epoch 62 |   0.0065   |
|  epoch 63 |   0.0057   |
|  epoch 64 |   0.0052   |
|  epoch 65 |   0.0059   |
|  epoch 66 |   0.0064   |
|  epoch 67 |   0.0054   |
|  epoch 68 |   0.0049   |
|  epoch 69 |   0.0065   |
|  epoch 70 |   0.0068   |
|  epoch 71 |   0.0063   |
|  epoch 72 |   0.0065   |
|  epoch 73 |   0.0052   |
|  epoch 74 |   0.0059   |
|  epoch 75 |   0.0046   |
|  epoch 76 |   0.0052   |
|  epoch 77 |   0.0052   |
|  epoch 78 |   0.0049   |
|  epoch 79 |   0.0057   |
|  epoch 80 |   0.0074   |
|  epoch 81 |   0.0054   |
|  epoch 82 |   0.0045   |
|  epoch 83 |   0.0063   |
|  epoch 84 |   0.0064   |
|  epoch 85 |   0.0048   |
|  epoch 86 |   0.0048   |
|  epoch 87 |   0.0060   |
|  epoch 88 |   0.0055   |
|  epoch 89 |   0.0046   |
|  epoch 90 |   0.0045   |
|  epoch 91 |   0.0064   |
|  epoch 92 |   0.0058   |
|  epoch 93 |   0.0046   |
|  epoch 94 |   0.0041   |
|  epoch 95 |   0.0052   |
|  epoch 96 |   0.0060   |
|  epoch 97 |   0.0049   |
|  epoch 98 |   0.0046   |
|  epoch 99 |   0.0058   |
| epoch 100 |   0.0060   |
+-----------+------------+
